State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
MA,1975,2298.0,0,700.0,Frame,7,498463.0,1000,Suburban,18,True,False,10.95,1.7,120,409665.0,1.273,21.8,63.83,2.02,52,4.21,Adequate,2,Low,51,88798.0,True,Moderate,1801.73,0,0.0
NY,1971,2056.0,0,695.0,Masonry,8,521954.0,500,Urban,18,False,False,9.57,38.19,120,373165.0,0.538,46.76,89.51,0.93,57,7.44,Adequate,0,High,55,148789.0,False,Moderate,1634.39,1,949.17
WA,1955,2072.0,0,850.0,Masonry,5,449078.0,5000,Urban,13,False,False,8.22,11.23,120,373936.0,0.416,64.34,38.18,0.54,31,0.6,Poor,1,Moderate,71,75142.0,False,Moderate,1822.11,2,1517.73
LA,1976,1157.0,0,609.0,Masonry,2,213901.0,1000,Rural,10,False,False,12.24,0.05,120,238498.0,0.202,22.1,37.99,1.64,44,0.57,Adequate,0,Low,50,0.0,False,Low,840.96,0,0.0
CA,2010,1618.0,0,700.0,Frame,9,299396.0,2000,Suburban,6,True,False,15.75,23.48,120,354485.0,0.314,6.65,35.41,6.37,86,7.78,Adequate,1,Moderate,16,0.0,True,Low,651.32,0,0.0
Other,1960,1565.0,1,651.0,Frame,10,340145.0,1000,Rural,23,True,True,12.5,6.79,18,221997.0,1.872,30.12,42.74,7.91,42,3.96,Adequate,2,Low,66,118148.0,False,Moderate,2292.84,1,2156.22
MA,1978,2269.0,0,700.0,Fire Resistive,9,568875.0,500,Rural,22,False,True,16.72,2.44,120,477645.0,0.403,17.95,67.72,0.8,81,13.25,Excellent,0,Moderate,48,91230.0,True,Moderate,1759.36,0,0.0
MA,2001,2002.0,0,700.0,Frame,7,251346.0,500,Suburban,26,False,False,28.96,4.26,120,289115.0,1.428,59.19,62.12,0.86,95,8.15,Poor,0,Low,25,0.0,True,Moderate,1229.97,2,4106.94
CA,2015,1711.0,0,700.0,Frame,1,253171.0,1000,Suburban,2,False,False,5.75,3.73,120,283851.0,0.217,7.95,48.79,3.79,57,3.61,Excellent,2,Moderate,11,0.0,True,Low,616.41,0,0.0
NY,2003,2808.0,0,713.0,Masonry,9,618804.0,1000,Suburban,16,False,False,6.62,3.18,120,424688.0,1.02,18.84,34.05,3.62,79,0.33,Excellent,1,Low,23,194116.0,False,Moderate,1297.63,0,0.0
